LIWC Category,N,E,O,A,C
pronouns,0,0,-0.21,0.11,0
first_person_sing,0.12,0,-0.16,0,0
first_person_pl,0,0.11,-0.1,0.18,0
first_person,0.1,0,-0.19,0.08,0
second_person,-0.15,0.16,-0.12,0,0
third_person,0,0,0,0,0
negation,0.11,0,-0.13,0,-0.17
assent,0,0,-0.11,0,-0.09
articles,-0.11,0,0.2,0,0.09
prepositions,0,0,0.17,0,0
numbers,0,-0.12,-0.08,0.11,0
affect,0,0.09,-0.12,0,0
positive_emotion,0,0.1,-0.15,0.18,0
positive_feeling,0,0.11,-0.11,0.14,0
optimism,-0.08,0,0,0.15,0.16
negative_emotion,0.16,0,0,-0.15,-0.18
anxiety_fear,0.17,0,0,0,0
anger,0.13,0,0,-0.23,-0.19
sadness,0.1,0,0,0,-0.11
cognitive_proc,0.13,0,-0.09,0,-0.11
causation,0.11,-0.09,0,-0.11,-0.12
insight,0,0,0,0,0
discrepancy,0.13,0,-0.12,0,-0.13
inhibition,0.09,-0.13,0,0,0
tentative,0.12,-0.11,0,0,-0.1
certainty,0.13,0.1,0,0,-0.1
sensory_proc,0,0.09,-0.11,0,-0.1
seeing,0,0,0,0.09,0
hearing,0,0.12,-0.08,0,-0.12
feeling,0.1,0,0,0.1,0
social_proc,0,0.15,-0.14,0.13,0
communication,0,0.13,0,0,0
other_refs,-0.08,0.15,-0.14,0.15,0
friends,-0.08,0.15,0,0.11,0
family,0,0.09,-0.17,0.19,0
humans,0,0.13,-0.09,0,-0.12
time,0,0,-0.22,0.12,0.09
past_tense,0,0,-0.16,0.1,0
present_tense,0,0,-0.16,0,0
future_tense,0,0,0,0,0
space,-0.09,0,-0.11,0.16,0
up,-0.1,0.09,-0.15,0.11,0.09
down,0,0,-0.11,0.11,0
inclusive,0,0.09,0.11,0.18,0
exclusive,0.1,0,0,0,-0.16
motion,0,0,-0.22,0.14,0
occupation,0,-0.12,0,0,0
school,0,0,0,0,0
job,0,-0.08,0,0,0
achievement,0,-0.09,0,0,0.14
leisure,0,0.08,-0.17,0.15,0
home,0,0,-0.2,0.19,0
sports,0,0,-0.14,0,0
tv_movies,0,0,0,0,0
music,0,0.13,0,0.08,-0.11
money,0,0,0,-0.11,0
metaphysical,0,0,0,0,0
religion,0,0.11,0,0,0
death,0,0,0.15,-0.13,-0.12
physical_states,0,0.14,-0.09,0.09,0
body_states,0,0.1,0,0.09,0
sexuality,0,0.17,0,0.08,0
eat_drink,0,0,-0.15,0,0
sleeping,0.1,0,-0.14,0.11,0
grooming,0,0,-0.2,0,0
swear_words,0.11,0,0,-0.21,-0.14